caseId,caseName,caseType,status,answerOutcome,scoreEligibility,scoreEligibilityReason,scorableNonSuccess,caseScore,outcomeScore,routingScore,executionScore,orchestrationScore,efficiencyScore,durationMs,tokenUsage,reason
power_trade_standard_v1_011,上午十点成交量达到八成,strategy_advice,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,72.25,75.0,,75.0,75.0,20.0,925139.0,2480248.0,
power_trade_standard_v1_012,晚高峰成交进度滞后,strategy_advice,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,83.5,100.0,,75.0,75.0,20.0,813655.0,7427035.0,
power_trade_standard_v1_013,大盘偏慢买方主动增强策略,strategy_advice,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,71.65,75.0,,75.0,75.0,8.0,,1904028.0,
power_trade_standard_v1_014,陕西日前现货申报策略,strategy_advice,FAILED,DATA_UNAVAILABLE,SCORABLE,failed runtime status has useful final output,True,62.5,90.0,,0.0,60.0,20.0,1258365.0,3832020.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 重编排失败: 重编排未产生有效变更，停止重复执行相同失败路径
power_trade_standard_v1_015,上周现货出清电价,data_query,FAILED,UNSUPPORTED_CAPABILITY,SCORABLE,failed runtime status has useful final output,True,48.2038,75.0,,0.0,45.0,34.0752,441654.0,953740.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 依赖任务 t_cbf3330198474641 采集失败：江苏省电力交易平台对2026-06-15至2026-06-21所有日期返回PROVINCE_EXPIRED错误，未能获取任何现货出清电价数据。缺少分析所需的全部基础数据（逐日出清电价），无法完成时段分析、价格波动识别、价格口径说明和关键变化总结。建议控制层协调数据源或调整标的日期范围为已开放查询的时段。
power_trade_standard_v1_016,陕西昨日申报负荷曲线,data_query,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,69.15,60.0,,75.0,100.0,8.0,,855156.0,
power_trade_standard_v1_017,陕西上周现货价差,data_query,FAILED,DATA_UNAVAILABLE,SCORABLE,failed runtime status has useful final output,True,69.9097,60.0,,83.33,85.0,41.5439,357631.0,999690.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 当前采集平台账号仅具备江苏省(320000)数据权限，无法采集陕西省(610000)现货日前与实时出清价格数据。请问：1）是否可以开通陕西省份数据采集权限？2）或者是否可以提供具备陕西权限的独立采集账号？3）如果无法开通陕西权限，是否可以接受用江苏省或其他有权限省份的同期数据作为替代示例？
power_trade_standard_v1_018,今日全省开停机情况,data_query,FAILED,DATA_UNAVAILABLE,SCORABLE,failed runtime status has useful final output,True,47.5,75.0,,0.0,45.0,20.0,1142728.0,4195506.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 重编排失败: Leader重编排输出为空
power_trade_standard_v1_019,后天气象情况,data_query,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,76.25,75.0,,75.0,100.0,0.0,,,
power_trade_standard_v1_020,跨省绿电交易规则,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,64.15,75.0,,75.0,50.0,8.0,,123801.0,
power_trade_standard_v1_021,年用电量500万kWh用户入市,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,64.15,75.0,,75.0,50.0,8.0,,72055.0,
power_trade_standard_v1_022,前天现货复盘,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,71.65,75.0,,75.0,75.0,8.0,,1906339.0,
power_trade_standard_v1_023,明天全省电源预测总出力,data_query,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,77.5256,75.0,,75.0,100.0,25.5112,537999.0,970614.0,
power_trade_standard_v1_024,2025年绿电交易价格机制,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,76.65,100.0,,75.0,50.0,8.0,,121886.0,
power_trade_standard_v1_025,跨省绿电安全校核流程,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,64.15,75.0,,75.0,50.0,8.0,,71462.0,
power_trade_standard_v1_026,光储充消防标准,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,49.15,45.0,,75.0,50.0,8.0,,238426.0,
power_trade_standard_v1_027,浙江峰谷价差与工商业储能投资,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,78.75,75.0,,75.0,100.0,0.0,,,
power_trade_standard_v1_028,实时电价查询,data_query,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,74.15,80.0,,75.0,75.0,8.0,,405111.0,
power_trade_standard_v1_029,上个月电价查询,data_query,FAILED,DATA_UNAVAILABLE,SCORABLE,failed runtime status has useful final output,True,55.6845,50.0,,62.5,60.0,61.1909,136602.0,244045.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 重编排失败: 重编排未产生有效变更，停止重复执行相同失败路径
power_trade_standard_v1_030,明天电价预测,data_query,FAILED,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,True,71.65,75.0,,75.0,75.0,8.0,,459891.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 请提供您的私有数据（持仓头寸/能量块成交记录/储能充放电计划），以Excel附件上传或Markdown表格形式提供。
power_trade_standard_v1_031,电价上涨原因分析,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,72.25,75.0,,75.0,75.0,20.0,885259.0,1560304.0,
power_trade_standard_v1_032,选择最省钱用电套餐,robustness,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,62.9,75.0,,75.0,50.0,8.0,,71124.0,
power_trade_standard_v1_033,账单分析与套餐推荐,business_answer,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,64.15,75.0,,75.0,50.0,8.0,,121634.0,
power_trade_standard_v1_034,今日盘前交易简报,business_answer,FAILED,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,True,71.65,75.0,,75.0,75.0,8.0,,320540.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 请提供2026-06-23日前交易相关的私有数据文件（Excel/JSON均可），包括：1）历史申报记录；2）机组运行状态数据；3）可用容量约束配置；4）场站运维信息。提供数据后我将恢复执行盘前简报生成流程。
power_trade_standard_v1_035,大丰风电场功率预测,data_query,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,77.7208,75.0,,75.0,100.0,29.4164,494066.0,961098.0,
power_trade_standard_v1_036,威海光伏站现货申报策略,strategy_advice,FAILED,DATA_UNAVAILABLE,SCORABLE,failed runtime status has useful final output,True,49.0,60.0,,0.0,60.0,20.0,940580.0,2877423.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 重编排失败: 重编排未产生有效变更，停止重复执行相同失败路径
power_trade_standard_v1_037,浙江未来两天日前现货电价预测,data_query,SUCCESS,DATA_UNAVAILABLE,SCORABLE,successful caseRun with useful final output,False,69.25,75.0,,75.0,60.0,20.0,672437.0,1118540.0,
power_trade_standard_v1_038,代理售电负荷预测,robustness,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,62.9,75.0,,75.0,50.0,8.0,,149342.0,
power_trade_standard_v1_039,后天全省光伏风电预测,data_query,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,71.65,75.0,,75.0,75.0,8.0,,1218092.0,
power_trade_standard_v1_040,江苏能量块后天预测,data_query,FAILED,CLARIFICATION_NEEDED,SCORABLE,failed runtime status has useful final output,True,35.848,50.0,,0.0,45.0,36.9596,409205.0,859834.0,case status is FAILED; scoreEligibility=SCORABLE; metric-derived score used; 请提供以下任一私有数据以继续能量块预测流程：(1) 用户负荷预测数据（96点位Excel文件）；(2) 中长期合约成交数据；(3) 能量块成交记录。当前webchat会话中未检测到用户上传的相关附件文件。
power_trade_standard_v1_041,今明两天竞价空间,data_query,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,72.25,75.0,,75.0,75.0,20.0,925668.0,8117098.0,
power_trade_standard_v1_042,未来用户预测负荷,robustness,SUCCESS,DATA_UNAVAILABLE,SCORABLE,successful caseRun with useful final output,False,68.4988,75.0,,87.5,60.0,24.976,544020.0,1154371.0,
power_trade_standard_v1_043,历史用户实际电量,robustness,SUCCESS,USEFUL_RESULT,SCORABLE,existing finalOutputJson is useful for current judge rubric,False,65.9,75.0,,75.0,50.0,68.0,43911.0,94851.0,
